ref_date,year,month,geo,house_index,land_index,land_premium,label
1981-01,1981,1,"Calgary, Alberta",27.8,19.4,0.6978417266187049,House-Driven
1981-01,1981,1,Canada,36.1,40.6,1.1246537396121883,Moderate
1981-01,1981,1,"Edmonton, Alberta",36.5,32.7,0.8958904109589042,Moderate
1981-01,1981,1,"Greater Sudbury, Ontario",54.6,51.4,0.9413919413919414,Moderate
1981-01,1981,1,"Hamilton, Ontario",24.8,46.0,1.8548387096774193,High Speculation
1981-01,1981,1,"Kitchener-Cambridge-Waterloo, Ontario",30.4,43.4,1.4276315789473684,High Speculation
1981-01,1981,1,"London, Ontario",27.0,51.0,1.8888888888888888,High Speculation
1981-01,1981,1,"Montréal, Quebec",30.0,20.3,0.6766666666666666,House-Driven
1981-01,1981,1,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",30.8,39.9,1.2954545454545454,High Speculation
1981-01,1981,1,"Québec, Quebec",34.9,19.8,0.5673352435530087,House-Driven
1981-01,1981,1,"Regina, Saskatchewan",20.7,16.7,0.8067632850241546,Moderate
1981-01,1981,1,"Saint John, Fredericton, and Moncton, New Brunswick",61.4,38.0,0.6188925081433225,House-Driven
1981-01,1981,1,"Saskatoon, Saskatchewan",35.8,26.0,0.7262569832402235,House-Driven
1981-01,1981,1,"St. Catharines-Niagara, Ontario",28.3,35.6,1.2579505300353357,High Speculation
1981-01,1981,1,"St. John's, Newfoundland and Labrador",37.5,31.4,0.8373333333333333,Moderate
1981-01,1981,1,"Toronto, Ontario",22.6,39.1,1.7300884955752212,High Speculation
1981-01,1981,1,"Vancouver, British Columbia",96.1,83.5,0.8688865764828304,Moderate
1981-01,1981,1,"Victoria, British Columbia",206.8,50.5,0.24419729206963248,House-Driven
1981-01,1981,1,"Windsor, Ontario",64.9,47.5,0.7318952234206471,House-Driven
1981-01,1981,1,"Winnipeg, Manitoba",29.3,18.7,0.6382252559726962,House-Driven
1981-02,1981,2,"Calgary, Alberta",28.1,19.6,0.697508896797153,House-Driven
1981-02,1981,2,Canada,36.5,41.0,1.1232876712328768,Moderate
1981-02,1981,2,"Edmonton, Alberta",36.8,32.9,0.8940217391304348,Moderate
1981-02,1981,2,"Greater Sudbury, Ontario",55.6,52.1,0.9370503597122302,Moderate
1981-02,1981,2,"Hamilton, Ontario",24.9,46.0,1.8473895582329318,High Speculation
1981-02,1981,2,"Kitchener-Cambridge-Waterloo, Ontario",30.5,43.5,1.4262295081967213,High Speculation
1981-02,1981,2,"London, Ontario",27.5,51.4,1.8690909090909091,High Speculation
1981-02,1981,2,"Montréal, Quebec",30.2,20.7,0.6854304635761589,House-Driven
1981-02,1981,2,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",30.8,39.9,1.2954545454545454,High Speculation
1981-02,1981,2,"Québec, Quebec",35.4,20.3,0.5734463276836158,House-Driven
1981-02,1981,2,"Regina, Saskatchewan",21.2,17.1,0.8066037735849058,Moderate
1981-02,1981,2,"Saint John, Fredericton, and Moncton, New Brunswick",62.1,38.0,0.6119162640901771,House-Driven
1981-02,1981,2,"Saskatoon, Saskatchewan",35.8,26.0,0.7262569832402235,House-Driven
1981-02,1981,2,"St. Catharines-Niagara, Ontario",28.6,35.6,1.2447552447552448,High Speculation
1981-02,1981,2,"St. John's, Newfoundland and Labrador",37.5,31.8,0.848,Moderate
1981-02,1981,2,"Toronto, Ontario",23.2,39.3,1.6939655172413792,High Speculation
1981-02,1981,2,"Vancouver, British Columbia",97.5,85.3,0.8748717948717949,Moderate
1981-02,1981,2,"Victoria, British Columbia",209.1,50.9,0.24342419894787184,House-Driven
1981-02,1981,2,"Windsor, Ontario",64.9,47.5,0.7318952234206471,House-Driven
1981-02,1981,2,"Winnipeg, Manitoba",29.7,18.7,0.6296296296296297,House-Driven
1981-03,1981,3,"Calgary, Alberta",28.6,19.6,0.6853146853146853,House-Driven
1981-03,1981,3,Canada,37.3,41.1,1.1018766756032172,Moderate
1981-03,1981,3,"Edmonton, Alberta",36.8,32.9,0.8940217391304348,Moderate
1981-03,1981,3,"Greater Sudbury, Ontario",55.6,52.1,0.9370503597122302,Moderate
1981-03,1981,3,"Hamilton, Ontario",25.3,46.0,1.8181818181818181,High Speculation
1981-03,1981,3,"Kitchener-Cambridge-Waterloo, Ontario",30.7,43.5,1.4169381107491856,High Speculation
1981-03,1981,3,"London, Ontario",28.2,51.4,1.822695035460993,High Speculation
1981-03,1981,3,"Montréal, Quebec",30.5,21.0,0.6885245901639344,House-Driven
1981-03,1981,3,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",31.9,40.6,1.272727272727273,High Speculation
1981-03,1981,3,"Québec, Quebec",35.4,20.6,0.5819209039548023,House-Driven
1981-03,1981,3,"Regina, Saskatchewan",21.5,17.5,0.813953488372093,Moderate
1981-03,1981,3,"Saint John, Fredericton, and Moncton, New Brunswick",62.1,38.0,0.6119162640901771,House-Driven
1981-03,1981,3,"Saskatoon, Saskatchewan",36.4,26.0,0.7142857142857143,House-Driven
1981-03,1981,3,"St. Catharines-Niagara, Ontario",28.6,35.6,1.2447552447552448,High Speculation
1981-03,1981,3,"St. John's, Newfoundland and Labrador",37.5,31.8,0.848,Moderate
1981-03,1981,3,"Toronto, Ontario",24.8,39.5,1.592741935483871,High Speculation
1981-03,1981,3,"Vancouver, British Columbia",97.5,85.3,0.8748717948717949,Moderate
1981-03,1981,3,"Victoria, British Columbia",210.6,50.9,0.24169040835707503,House-Driven
1981-03,1981,3,"Windsor, Ontario",64.1,47.5,0.7410296411856475,House-Driven
1981-03,1981,3,"Winnipeg, Manitoba",30.3,18.7,0.6171617161716171,House-Driven
1981-04,1981,4,"Calgary, Alberta",30.1,19.8,0.6578073089700996,House-Driven
1981-04,1981,4,Canada,38.1,41.2,1.0813648293963254,Moderate
1981-04,1981,4,"Edmonton, Alberta",36.9,32.9,0.8915989159891599,Moderate
1981-04,1981,4,"Greater Sudbury, Ontario",57.0,53.7,0.9421052631578948,Moderate
1981-04,1981,4,"Hamilton, Ontario",25.6,46.3,1.8085937499999998,High Speculation
1981-04,1981,4,"Kitchener-Cambridge-Waterloo, Ontario",31.1,43.5,1.3987138263665595,High Speculation
1981-04,1981,4,"London, Ontario",28.6,51.6,1.8041958041958042,High Speculation
1981-04,1981,4,"Montréal, Quebec",30.8,21.0,0.6818181818181818,House-Driven
1981-04,1981,4,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",32.0,40.6,1.26875,High Speculation
1981-04,1981,4,"Québec, Quebec",35.7,20.9,0.5854341736694677,House-Driven
1981-04,1981,4,"Regina, Saskatchewan",22.4,17.8,0.7946428571428572,House-Driven
