ref_date,year,month,geo,price_category,value,status,value_last_year,yoy_change
1987-01,1987,1,Alberta,Total (house and land),27.2,normal,26.4,3.030303030303033
1987-02,1987,2,Alberta,Total (house and land),27.4,normal,26.8,2.2388059701492455
1987-03,1987,3,Alberta,Total (house and land),27.6,normal,26.9,2.602230483271386
1987-04,1987,4,Alberta,Total (house and land),27.7,normal,26.9,2.9739776951672887
1987-05,1987,5,Alberta,Total (house and land),27.9,normal,26.9,3.717472118959108
1987-06,1987,6,Alberta,Total (house and land),28.0,normal,27.0,3.7037037037037033
1987-07,1987,7,Alberta,Total (house and land),28.1,normal,27.0,4.074074074074079
1987-08,1987,8,Alberta,Total (house and land),28.3,normal,27.1,4.428044280442801
1987-09,1987,9,Alberta,Total (house and land),28.4,normal,27.1,4.797047970479694
1987-10,1987,10,Alberta,Total (house and land),28.7,normal,27.1,5.904059040590397
1987-11,1987,11,Alberta,Total (house and land),28.8,normal,27.2,5.882352941176476
1987-12,1987,12,Alberta,Total (house and land),28.8,normal,27.2,5.882352941176476
1988-01,1988,1,Alberta,Total (house and land),29.3,normal,27.2,7.720588235294123
1988-02,1988,2,Alberta,Total (house and land),29.4,normal,27.4,7.299270072992702
1988-03,1988,3,Alberta,Total (house and land),29.5,normal,27.6,6.884057971014487
1988-04,1988,4,Alberta,Total (house and land),29.7,normal,27.7,7.2202166064981945
1988-05,1988,5,Alberta,Total (house and land),29.8,normal,27.9,6.810035842293914
1988-06,1988,6,Alberta,Total (house and land),29.9,normal,28.0,6.785714285714281
1988-07,1988,7,Alberta,Total (house and land),30.1,normal,28.1,7.117437722419928
1988-08,1988,8,Alberta,Total (house and land),30.4,normal,28.3,7.4204946996466346
1988-09,1988,9,Alberta,Total (house and land),30.4,normal,28.4,7.042253521126761
1988-10,1988,10,Alberta,Total (house and land),30.5,normal,28.7,6.271777003484323
1988-11,1988,11,Alberta,Total (house and land),30.7,normal,28.8,6.597222222222217
1988-12,1988,12,Alberta,Total (house and land),30.7,normal,28.8,6.597222222222217
1989-01,1989,1,Alberta,Total (house and land),30.8,normal,29.3,5.1194539249146755
1989-02,1989,2,Alberta,Total (house and land),31.2,normal,29.4,6.122448979591839
1989-03,1989,3,Alberta,Total (house and land),31.4,normal,29.5,6.44067796610169
1989-04,1989,4,Alberta,Total (house and land),31.5,normal,29.7,6.060606060606063
1989-05,1989,5,Alberta,Total (house and land),31.8,normal,29.8,6.7114093959731544
1989-06,1989,6,Alberta,Total (house and land),32.0,normal,29.9,7.023411371237463
1989-07,1989,7,Alberta,Total (house and land),32.1,normal,30.1,6.644518272425248
1989-08,1989,8,Alberta,Total (house and land),32.5,normal,30.4,6.90789473684211
1989-09,1989,9,Alberta,Total (house and land),32.9,normal,30.4,8.223684210526317
1989-10,1989,10,Alberta,Total (house and land),33.4,normal,30.5,9.50819672131147
1989-11,1989,11,Alberta,Total (house and land),33.8,normal,30.7,10.097719869706834
1989-12,1989,12,Alberta,Total (house and land),34.6,normal,30.7,12.70358306188926
1990-01,1990,1,Alberta,Total (house and land),35.1,normal,30.8,13.961038961038962
1990-02,1990,2,Alberta,Total (house and land),36.0,normal,31.2,15.384615384615389
1990-03,1990,3,Alberta,Total (house and land),37.0,normal,31.4,17.834394904458602
1990-04,1990,4,Alberta,Total (house and land),37.3,normal,31.5,18.412698412698404
1990-05,1990,5,Alberta,Total (house and land),37.2,normal,31.8,16.981132075471706
1990-06,1990,6,Alberta,Total (house and land),37.2,normal,32.0,16.250000000000007
1990-07,1990,7,Alberta,Total (house and land),37.0,normal,32.1,15.264797507788158
1990-08,1990,8,Alberta,Total (house and land),37.1,normal,32.5,14.153846153846159
1990-09,1990,9,Alberta,Total (house and land),37.1,normal,32.9,12.765957446808521
1990-10,1990,10,Alberta,Total (house and land),37.1,normal,33.4,11.077844311377255
1990-11,1990,11,Alberta,Total (house and land),37.2,normal,33.8,10.059171597633155
1990-12,1990,12,Alberta,Total (house and land),36.6,normal,34.6,5.780346820809249
1991-01,1991,1,Alberta,Total (house and land),36.7,normal,35.1,4.558404558404562
1991-02,1991,2,Alberta,Total (house and land),36.6,normal,36.0,1.6666666666666705
1991-03,1991,3,Alberta,Total (house and land),36.7,normal,37.0,-0.8108108108108031
1991-04,1991,4,Alberta,Total (house and land),36.4,normal,37.3,-2.412868632707771
1991-05,1991,5,Alberta,Total (house and land),36.5,normal,37.2,-1.8817204301075343
1991-06,1991,6,Alberta,Total (house and land),36.6,normal,37.2,-1.6129032258064553
1991-07,1991,7,Alberta,Total (house and land),36.4,normal,37.0,-1.6216216216216255
1991-08,1991,8,Alberta,Total (house and land),36.6,normal,37.1,-1.3477088948787062
1991-09,1991,9,Alberta,Total (house and land),36.6,normal,37.1,-1.3477088948787062
1991-10,1991,10,Alberta,Total (house and land),36.6,normal,37.1,-1.3477088948787062
1991-11,1991,11,Alberta,Total (house and land),36.5,normal,37.2,-1.8817204301075343
1991-12,1991,12,Alberta,Total (house and land),36.6,normal,36.6,0.0
1992-01,1992,1,Alberta,Total (house and land),36.4,normal,36.7,-0.8174386920981042
1992-02,1992,2,Alberta,Total (house and land),36.3,normal,36.6,-0.8196721311475527
1992-03,1992,3,Alberta,Total (house and land),36.6,normal,36.7,-0.2724795640327014
1992-04,1992,4,Alberta,Total (house and land),36.7,normal,36.4,0.824175824175836
1992-05,1992,5,Alberta,Total (house and land),36.8,normal,36.5,0.8219178082191704
1992-06,1992,6,Alberta,Total (house and land),36.9,normal,36.6,0.8196721311475332
1992-07,1992,7,Alberta,Total (house and land),36.9,normal,36.4,1.3736263736263736
1992-08,1992,8,Alberta,Total (house and land),36.9,normal,36.6,0.8196721311475332
1992-09,1992,9,Alberta,Total (house and land),37.0,normal,36.6,1.092896174863384
1992-10,1992,10,Alberta,Total (house and land),37.1,normal,36.6,1.366120218579235
1992-11,1992,11,Alberta,Total (house and land),37.1,normal,36.5,1.64383561643836
1992-12,1992,12,Alberta,Total (house and land),37.2,normal,36.6,1.6393442622950858
1993-01,1993,1,Alberta,Total (house and land),37.2,normal,36.4,2.19780219780221
1993-02,1993,2,Alberta,Total (house and land),37.6,normal,36.3,3.5812672176308658
1993-03,1993,3,Alberta,Total (house and land),38.5,normal,36.6,5.191256830601089
1993-04,1993,4,Alberta,Total (house and land),38.4,normal,36.7,4.632152588555846
1993-05,1993,5,Alberta,Total (house and land),38.4,normal,36.8,4.347826086956526
